Open,High,Low,Current,Volume,log_datetime,stock
2583,2598.9,2583,2597.7,126952,15-09-2022 09:15,RELIANCE
2597.6,2600,2596.25,2599.3,179112,15-09-2022 09:16,RELIANCE
2599.1,2602.25,2598.6,2600.05,211468,15-09-2022 09:17,RELIANCE
2600,2600.75,2598.65,2600,229205,15-09-2022 09:18,RELIANCE
2599.3,2600,2597.05,2597.25,244335,15-09-2022 09:19,RELIANCE
2598,2598,2595,2596,259796,15-09-2022 09:20,RELIANCE
2595.9,2599.7,2595,2598.3,272472,15-09-2022 09:21,RELIANCE
2598.75,2599.6,2597,2599.2,287387,15-09-2022 09:22,RELIANCE
2598.9,2600.65,2598.7,2599.15,299659,15-09-2022 09:23,RELIANCE
2599.05,2600.85,2598.4,2598.85,335452,15-09-2022 09:24,RELIANCE
2599.05,2601,2598.35,2599.2,351432,15-09-2022 09:25,RELIANCE
2599.8,2600.45,2598.5,2600.45,362678,15-09-2022 09:26,RELIANCE
2600.35,2601,2599.05,2600,381785,15-09-2022 09:27,RELIANCE
2600.15,2600.95,2599.25,2600,397857,15-09-2022 09:28,RELIANCE
2599.9,2600.15,2598,2598,411575,15-09-2022 09:29,RELIANCE
2598.3,2599.45,2596,2596.6,421737,15-09-2022 09:30,RELIANCE
2596.35,2598,2596,2597.15,438613,15-09-2022 09:31,RELIANCE
2597.7,2600,2597.15,2599.15,448544,15-09-2022 09:32,RELIANCE
2599,2600.8,2599,2599,471707,15-09-2022 09:33,RELIANCE
2599.55,2600,2597,2597,486226,15-09-2022 09:34,RELIANCE
2596.8,2598.6,2596,2597.3,495060,15-09-2022 09:35,RELIANCE
2596.85,2596.85,2594,2594.9,516615,15-09-2022 09:36,RELIANCE
2594.1,2595,2592.3,2593.2,533137,15-09-2022 09:37,RELIANCE
2593.05,2594.2,2592.1,2592.3,541695,15-09-2022 09:38,RELIANCE
2592.5,2592.5,2589.3,2589.4,564753,15-09-2022 09:39,RELIANCE
2589.3,2593.6,2589.3,2593,646870,15-09-2022 09:40,RELIANCE
2593.3,2595.7,2593,2595.35,693564,15-09-2022 09:41,RELIANCE
2595.2,2595.8,2594,2594.8,717051,15-09-2022 09:42,RELIANCE
2594.95,2596.9,2594.95,2596.7,734656,15-09-2022 09:43,RELIANCE
2596.5,2598,2595.7,2597.4,749346,15-09-2022 09:44,RELIANCE
2597.95,2599.85,2597.4,2599.65,772295,15-09-2022 09:45,RELIANCE
2517.15,2518,2517,2518,2199593,16-09-2022 11:34,TATA
2517,2518,2516.6,2518,2203603,16-09-2022 11:35,TATA
2517.8,2518,2517.05,2518,2212976,16-09-2022 11:36,TATA
2517.45,2518,2517,2517.7,2217373,16-09-2022 11:37,TATA
2517.25,2518,2516.4,2517.2,2225045,16-09-2022 11:38,TATA
2517.05,2518.55,2517.05,2518.05,2231958,16-09-2022 11:39,TATA
2518,2518.6,2517,2517.45,2237588,16-09-2022 11:40,TATA
2518,2518.6,2517.25,2518.35,2241865,16-09-2022 11:41,TATA
2518.6,2518.6,2516.6,2517.1,2249525,16-09-2022 11:42,TATA
2516.5,2516.5,2515.05,2516,2256577,16-09-2022 11:43,TATA
2515.05,2517,2515,2516.9,2261598,16-09-2022 11:44,TATA
2516.05,2516.6,2515.05,2515.3,2265736,16-09-2022 11:45,TATA
2515.65,2516.65,2515.25,2516,2269212,16-09-2022 11:46,TATA
2516,2516.15,2515.05,2515.7,2319182,16-09-2022 11:57,RELIANCE
2515.75,2515.9,2513.25,2513.25,2331467,16-09-2022 11:58,MAHINDRA
2513.55,2514.2,2512.5,2514.1,2342073,16-09-2022 11:59,MAHINDRA
2514,2514.55,2513.1,2514.3,2347890,16-09-2022 12:00,MAHINDRA
2514.15,2514.3,2513.05,2513.3,2353578,16-09-2022 12:01,MAHINDRA
2513.15,2513.55,2512,2513.55,2363228,16-09-2022 12:02,MAHINDRA
2513.9,2514.2,2512.5,2513.05,2369442,16-09-2022 12:03,MAHINDRA
2512.65,2513.55,2510,2510.2,2405987,16-09-2022 12:04,MAHINDRA
2511.15,2511.8,2511,2511.8,2415691,16-09-2022 12:05,MAHINDRA
2511.9,2512.85,2511.75,2512.35,2423539,16-09-2022 12:06,MAHINDRA
2512,2514.2,2512,2513.15,2432851,16-09-2022 12:07,MAHINDRA
2513,2514.8,2513,2514.05,2442455,16-09-2022 12:08,MAHINDRA
2514,2514.05,2511.25,2511.7,2453616,16-09-2022 12:09,MAHINDRA
2512.3,2512.55,2511.05,2511.55,2459117,16-09-2022 12:10,MAHINDRA
2511.05,2512.05,2511,2511.05,2467461,16-09-2022 12:11,MAHINDRA
2511,2511.25,2507.3,2509.9,2518365,16-09-2022 12:12,MAHINDRA
2509.85,2510.45,2508.6,2509,2531038,16-09-2022 12:13,MAHINDRA
2509.5,2510.05,2505.7,2505.7,2565251,16-09-2022 12:14,MAHINDRA
2509.55,2511.35,2509.55,2511,2899906,16-09-2022 12:43,IDFC
2510.7,2511.1,2510.55,2510.75,2905688,16-09-2022 12:44,IDFC
2510.9,2511.5,2510.25,2511.5,2912912,16-09-2022 12:45,IDFC
2511.4,2512.7,2511.4,2512.6,2922099,16-09-2022 12:46,IDFC
2512.65,2513.85,2511.95,2513.75,2935120,16-09-2022 12:47,IDFC
2513.7,2513.8,2512.7,2512.7,2942451,16-09-2022 12:48,IDFC
2513.5,2513.5,2512,2513,2950585,16-09-2022 12:49,IDFC
2512.6,2513,2511,2511,2959388,16-09-2022 12:50,IDFC
2511.25,2512.9,2510.9,2512.45,2974652,16-09-2022 12:51,IDFC
2511.75,2512.25,2510,2510.5,2983270,16-09-2022 12:52,IDFC
2510.35,2511,2510.3,2510.3,2988874,16-09-2022 12:53,IDFC
2510.2,2510.3,2507.75,2508.2,2998266,16-09-2022 12:54,IDFC
2508.1,2508.7,2507,2507.9,3008275,16-09-2022 12:55,IDFC
2508.05,2508.05,2506.95,2508,3016522,16-09-2022 12:56,IDFC
2507.95,2509.55,2507.6,2508.9,3023296,16-09-2022 12:57,IDFC
2509.55,2510.9,2508.85,2510.9,3034042,16-09-2022 12:58,IDFC
